experiment_name,model_key,loss_name,weighted_sampler,best_epoch,best_val_score,test_loss,test_predictions_path,checkpoint_path,log_path,test_roc_auc,test_auprc,test_accuracy,test_precision,test_recall_sensitivity,test_f1,test_specificity,test_tn,test_fp,test_fn,test_tp
effb0_bce,efficientnet_b0,bce,False,20,0.9473056376008874,0.3149865321089563,content/skin_cancer_outputs/results/effb0_bce_test_predictions.csv,content/skin_cancer_outputs/checkpoints/effb0_bce_best.pt,content/skin_cancer_outputs/logs/effb0_bce_training_log.csv,0.9572604449534088,0.8716830926368949,0.9278947368421052,0.8412162162162162,0.7345132743362832,0.784251968503937,0.9698910954516335,3028,94,180,498
effb0_weighted_bce,efficientnet_b0,weighted_bce,False,20,0.9466345508797591,0.8613480059567251,content/skin_cancer_outputs/results/effb0_weighted_bce_test_predictions.csv,content/skin_cancer_outputs/checkpoints/effb0_weighted_bce_best.pt,content/skin_cancer_outputs/logs/effb0_weighted_bce_training_log.csv,0.9575698865601242,0.8696166214691896,0.9244736842105263,0.7896296296296297,0.7861356932153393,0.7878787878787878,0.9545163356822549,2980,142,145,533
effb0_focal,efficientnet_b0,focal,False,18,0.930979167729634,0.029408701140629618,content/skin_cancer_outputs/results/effb0_focal_test_predictions.csv,content/skin_cancer_outputs/checkpoints/effb0_focal_best.pt,content/skin_cancer_outputs/logs/effb0_focal_training_log.csv,0.9391361429686363,0.8216245744199494,0.9105263157894737,0.8407258064516129,0.6150442477876106,0.7103918228279387,0.9746957078795644,3043,79,261,417
effb0_cb_focal,efficientnet_b0,class_balanced_focal,False,18,0.9366263589447048,0.08501421756650272,content/skin_cancer_outputs/results/effb0_cb_focal_test_predictions.csv,content/skin_cancer_outputs/checkpoints/effb0_cb_focal_best.pt,content/skin_cancer_outputs/logs/effb0_cb_focal_training_log.csv,0.9392802340984809,0.8302613657503632,0.9023684210526316,0.7123098201936376,0.7595870206489675,0.7351891506067095,0.9333760409993593,2914,208,163,515
effb0_weighted_bce_sampler,efficientnet_b0,weighted_bce,True,17,0.9533617169237629,0.7974897714665061,content/skin_cancer_outputs/results/effb0_weighted_bce_sampler_test_predictions.csv,content/skin_cancer_outputs/checkpoints/effb0_weighted_bce_sampler_best.pt,content/skin_cancer_outputs/logs/effb0_weighted_bce_sampler_training_log.csv,0.9560706301648403,0.8560324728944266,0.9144736842105263,0.7325428194993412,0.8200589970501475,0.7738343771746694,0.9349775784753364,2919,203,122,556
convnext_tiny_bce,convnext_tiny,bce,False,20,0.8427942151899451,0.3222158359853845,content/skin_cancer_outputs/results/convnext_tiny_bce_test_predictions.csv,content/skin_cancer_outputs/checkpoints/convnext_tiny_bce_best.pt,content/skin_cancer_outputs/logs/convnext_tiny_bce_training_log.csv,0.8580914964501616,0.6361980995840438,0.8621052631578947,0.7225433526011561,0.3687315634218289,0.48828125,0.9692504804612428,3026,96,428,250
convnext_tiny_weighted_bce,convnext_tiny,weighted_bce,False,2,0.7966401727959727,0.8495722871077688,content/skin_cancer_outputs/results/convnext_tiny_weighted_bce_test_predictions.csv,content/skin_cancer_outputs/checkpoints/convnext_tiny_weighted_bce_best.pt,content/skin_cancer_outputs/logs/convnext_tiny_weighted_bce_training_log.csv,0.8158446858246453,0.5145543562471173,0.6971052631578948,0.34532374100719426,0.7787610619469026,0.47847757136384234,0.679372197309417,2121,1001,150,528
convnext_tiny_focal,convnext_tiny,focal,False,19,0.9058423520207717,0.027115393498618353,content/skin_cancer_outputs/results/convnext_tiny_focal_test_predictions.csv,content/skin_cancer_outputs/checkpoints/convnext_tiny_focal_best.pt,content/skin_cancer_outputs/logs/convnext_tiny_focal_training_log.csv,0.9243127089321382,0.7850250554885768,0.8934210526315789,0.8719346049046321,0.471976401179941,0.6124401913875598,0.9849455477258168,3075,47,358,320
convnext_tiny_cb_focal,convnext_tiny,class_balanced_focal,False,19,0.8354323395297243,0.07990623648229399,content/skin_cancer_outputs/results/convnext_tiny_cb_focal_test_predictions.csv,content/skin_cancer_outputs/checkpoints/convnext_tiny_cb_focal_best.pt,content/skin_cancer_outputs/logs/convnext_tiny_cb_focal_training_log.csv,0.8571853758369096,0.6301955711310692,0.8510526315789474,0.5848484848484848,0.5693215339233039,0.5769805680119582,0.9122357463164638,2848,274,292,386
convnext_tiny_weighted_bce_sampler,convnext_tiny,weighted_bce,True,20,0.8467850670567049,0.9868164141554582,content/skin_cancer_outputs/results/convnext_tiny_weighted_bce_sampler_test_predictions.csv,content/skin_cancer_outputs/checkpoints/convnext_tiny_weighted_bce_sampler_best.pt,content/skin_cancer_outputs/logs/convnext_tiny_weighted_bce_sampler_training_log.csv,0.8592130451132793,0.6221850094416365,0.5313157894736842,0.27125673994193283,0.9646017699115044,0.42343800582712854,0.437219730941704,1365,1757,24,654
