threshold,sensitivity,specificity,precision,recall,f1,accuracy,roc_auc,auprc,tp,tn,fp,fn
0.0,1.0,0.0,0.17843044370756356,1.0,0.30282728125418734,0.17843044370756356,0.8096915666421177,0.4196200080038185,1130,0,5203,0
0.01,1.0,0.0,0.17843044370756356,1.0,0.30282728125418734,0.17843044370756356,0.8096915666421177,0.4196200080038185,1130,0,5203,0
0.02,1.0,0.0,0.17843044370756356,1.0,0.30282728125418734,0.17843044370756356,0.8096915666421177,0.4196200080038185,1130,0,5203,0
0.03,1.0,0.0,0.17843044370756356,1.0,0.30282728125418734,0.17843044370756356,0.8096915666421177,0.4196200080038185,1130,0,5203,0
0.04,1.0,0.0,0.17843044370756356,1.0,0.30282728125418734,0.17843044370756356,0.8096915666421177,0.4196200080038185,1130,0,5203,0
0.05,1.0,0.0,0.17843044370756356,1.0,0.30282728125418734,0.17843044370756356,0.8096915666421177,0.4196200080038185,1130,0,5203,0
0.06,1.0,0.0,0.17843044370756356,1.0,0.30282728125418734,0.17843044370756356,0.8096915666421177,0.4196200080038185,1130,0,5203,0
0.07,1.0,0.00019219680953296174,0.1784586228679722,1.0,0.3028678638434736,0.1785883467550924,0.8096915666421177,0.4196200080038185,1130,1,5202,0
0.08,1.0,0.0003843936190659235,0.17848681093034277,1.0,0.30290845731135235,0.1787462498026212,0.8096915666421177,0.4196200080038185,1130,2,5201,0
0.09,1.0,0.0005765904285988853,0.17851500789889416,1.0,0.30294906166219837,0.17890415285015002,0.8096915666421177,0.4196200080038185,1130,3,5200,0
0.1,1.0,0.0005765904285988853,0.17851500789889416,1.0,0.30294906166219837,0.17890415285015002,0.8096915666421177,0.4196200080038185,1130,3,5200,0
0.11,1.0,0.0005765904285988853,0.17851500789889416,1.0,0.30294906166219837,0.17890415285015002,0.8096915666421177,0.4196200080038185,1130,3,5200,0
0.12,1.0,0.0009609840476648087,0.17857142857142858,1.0,0.30303030303030304,0.17921995894520765,0.8096915666421177,0.4196200080038185,1130,5,5198,0
0.13,1.0,0.0009609840476648087,0.17857142857142858,1.0,0.30303030303030304,0.17921995894520765,0.8096915666421177,0.4196200080038185,1130,5,5198,0
0.14,1.0,0.001537574476263694,0.17865612648221343,1.0,0.30315224681421865,0.1796936680877941,0.8096915666421177,0.4196200080038185,1130,8,5195,0
0.15,1.0,0.0026907553334614646,0.17882576357018515,1.0,0.3033964290508793,0.180641086372967,0.8096915666421177,0.4196200080038185,1130,14,5189,0
0.16,1.0,0.005573707476455891,0.17925126903553298,1.0,0.30400860909335486,0.18300963208589927,0.8096915666421177,0.4196200080038185,1130,29,5174,0
0.17,1.0,0.013645973476840285,0.18045352922389013,1.0,0.30573593073593075,0.18964156008210958,0.8096915666421177,0.4196200080038185,1130,71,5132,0
0.18,1.0,0.02402460119162022,0.18202319587628865,1.0,0.3079858272008722,0.1981683246486657,0.8096915666421177,0.4196200080038185,1130,125,5078,0
0.19,1.0,0.03440322890640015,0.18362040948976274,1.0,0.3102690829214717,0.20669508921522187,0.8096915666421177,0.4196200080038185,1130,179,5024,0
0.2,1.0,0.04401306938304824,0.18512450851900394,1.0,0.31241360243295546,0.2145902415916627,0.8096915666421177,0.4196200080038185,1130,229,4974,0
0.21,1.0,0.055352681145492987,0.1869313482216708,1.0,0.31498257839721255,0.22390652139586295,0.8096915666421177,0.4196200080038185,1130,288,4915,0
0.22,1.0,0.06611570247933884,0.18867924528301888,1.0,0.31746031746031744,0.2327490920574767,0.8096915666421177,0.4196200080038185,1130,344,4859,0
0.23,1.0,0.07649433019411878,0.19039595619208088,1.0,0.3198867657466384,0.24127585662403284,0.8096915666421177,0.4196200080038185,1130,398,4805,0
0.24,1.0,0.09090909090909091,0.19283276450511946,1.0,0.32331902718168815,0.2531185851886941,0.8096915666421177,0.4196200080038185,1130,473,4730,0
0.25,0.9991150442477876,0.1014799154334038,0.1945210199862164,0.9991150442477876,0.3256417652148832,0.2616453497552503,0.8096915666421177,0.4196200080038185,1129,528,4675,1
0.26,0.9991150442477876,0.11147414952911781,0.1962795549374131,0.9991150442477876,0.32810229584423134,0.2698563082267488,0.8096915666421177,0.4196200080038185,1129,580,4623,1
0.27,0.9991150442477876,0.11935421871996925,0.19768867098581686,0.9991150442477876,0.3300687034059348,0.27633033317543026,0.8096915666421177,0.4196200080038185,1129,621,4582,1
0.28,0.9991150442477876,0.12877186238708438,0.19939950547509713,0.9991150442477876,0.3324499411071849,0.28406758250434233,0.8096915666421177,0.4196200080038185,1129,670,4533,1
0.29,0.9991150442477876,0.13799730924466655,0.2011043819023869,0.9991150442477876,0.3348161328588375,0.29164692878572557,0.8096915666421177,0.4196200080038185,1129,718,4485,1
0.3,0.9991150442477876,0.14606957524505093,0.20262024407753051,0.9991150442477876,0.3369143539242017,0.2982788567819359,0.8096915666421177,0.4196200080038185,1129,760,4443,1
0.31,0.9991150442477876,0.15394964443590237,0.20412222021334298,0.9991150442477876,0.33898813991893106,0.3047528817306174,0.8096915666421177,0.4196200080038185,1129,801,4402,1
0.32,0.9991150442477876,0.16336728810301748,0.20594673476833272,0.9991150442477876,0.3415003024803388,0.31249013105952944,0.8096915666421177,0.4196200080038185,1129,850,4353,1
0.33,0.9964601769911504,0.16798001153180858,0.2064161319890009,0.9964601769911504,0.3419893697798026,0.31580609505763463,0.8096915666421177,0.4196200080038185,1126,874,4329,4
0.34,0.995575221238938,0.17528349029406112,0.2077178729689808,0.995575221238938,0.3437213565536205,0.32164850781620086,0.8096915666421177,0.4196200080038185,1125,912,4291,5
0.35000000000000003,0.9938053097345133,0.18277916586584664,0.20893023255813953,0.9938053097345133,0.3452728670253651,0.3274909205747671,0.8096915666421177,0.4196200080038185,1123,951,4252,7
0.36,0.9938053097345133,0.19085143186623102,0.21057566097881117,0.9938053097345133,0.3475166331425035,0.3341228485709774,0.8096915666421177,0.4196200080038185,1123,993,4210,7
0.37,0.9920353982300885,0.1975783201998847,0.2116691842900302,0.9920353982300885,0.34889511360099595,0.3393336491394284,0.8096915666421177,0.4196200080038185,1121,1028,4175,9
0.38,0.9911504424778761,0.20680376705746684,0.21345530779493044,0.9911504424778761,0.3512623490669594,0.3467550923732828,0.8096915666421177,0.4196200080038185,1120,1076,4127,10
0.39,0.9902654867256637,0.21641360753411493,0.21535796766743648,0.9902654867256637,0.353778058804932,0.35449234170219485,0.8096915666421177,0.4196200080038185,1119,1126,4077,11
0.4,0.9893805309734514,0.22487026715356526,0.21704523393515823,0.9893805309734514,0.35599426842859416,0.361282172745934,0.8096915666421177,0.4196200080038185,1118,1170,4033,12
0.41000000000000003,0.988495575221239,0.23620987891601,0.2194067963072088,0.988495575221239,0.3591062530139849,0.3704405495026054,0.8096915666421177,0.4196200080038185,1117,1229,3974,13
0.42,0.984070796460177,0.2502402460119162,0.22182325952523438,0.984070796460177,0.36203809213739213,0.381177956734565,0.8096915666421177,0.4196200080038185,1112,1302,3901,18
0.43,0.9823008849557522,0.2644628099173554,0.22483289447032612,0.9823008849557522,0.3659139607713862,0.3925469761566398,0.8096915666421177,0.4196200080038185,1110,1376,3827,20
0.44,0.9787610619469026,0.27964635787045933,0.22785331685208077,0.9787610619469026,0.3696524064171123,0.40438970472130115,0.8096915666421177,0.4196200080038185,1106,1455,3748,24
0.45,0.9761061946902655,0.2975206611570248,0.2318200924758302,0.9761061946902655,0.37466032608695654,0.4186009789988947,0.8096915666421177,0.4196200080038185,1103,1548,3655,27
0.46,0.9752212389380531,0.316548145300788,0.23658222413052812,0.9752212389380531,0.3807878369039392,0.4340754776567188,0.8096915666421177,0.4196200080038185,1102,1647,3556,28
0.47000000000000003,0.9716814159292035,0.3355756294445512,0.24105378704720087,0.9716814159292035,0.3862796833773087,0.4490762671719564,0.8096915666421177,0.4196200080038185,1098,1746,3457,32
0.48,0.9646017699115044,0.3594080338266385,0.24643906850553923,0.9646017699115044,0.3925805870700522,0.4673930206852992,0.8096915666421177,0.4196200080038185,1090,1870,3333,40
0.49,0.9584070796460177,0.38381702863732464,0.2525064117509909,0.9584070796460177,0.3997047425724303,0.4863413863887573,0.8096915666421177,0.4196200080038185,1083,1997,3206,47
0.5,0.9513274336283186,0.4061118585431482,0.2581032412965186,0.9513274336283186,0.4060434372049103,0.5033949155218695,0.8096915666421177,0.4196200080038185,1075,2113,3090,55
0.51,0.9424778761061947,0.4310974437824332,0.2645962732919255,0.9424778761061947,0.4131910766246363,0.5223432812253277,0.8096915666421177,0.4196200080038185,1065,2243,2960,65
0.52,0.9300884955752212,0.4562752258312512,0.2708762886597938,0.9300884955752212,0.41956087824351296,0.5408179377861992,0.8096915666421177,0.4196200080038185,1051,2374,2829,79
0.53,0.9203539823008849,0.4835671727849318,0.2790448081566944,0.9203539823008849,0.42824788964381305,0.5615032370124743,0.8096915666421177,0.4196200080038185,1040,2516,2687,90
0.54,0.9053097345132743,0.5098981356909476,0.2863140218303946,0.9053097345132743,0.4350414628960238,0.5804516027159324,0.8096915666421177,0.4196200080038185,1023,2653,2550,107
0.55,0.8929203539823009,0.5344993273111667,0.29408335762168464,0.8929203539823009,0.4424468318351239,0.5984525501342176,0.8096915666421177,0.4196200080038185,1009,2781,2422,121
0.56,0.8787610619469026,0.5585239285027869,0.3018237082066869,0.8787610619469026,0.4493212669683258,0.6156639823148586,0.8096915666421177,0.4196200080038185,993,2906,2297,137
0.5700000000000001,0.8610619469026549,0.5858158754564674,0.3110613810741688,0.8610619469026549,0.457022076092062,0.6349281541133744,0.8096915666421177,0.4196200080038185,973,3048,2155,157
0.58,0.8451327433628318,0.6121468383624832,0.3212243525058863,0.8451327433628318,0.4655130392395808,0.6537186167693037,0.8096915666421177,0.4196200080038185,955,3185,2018,175
0.59,0.8265486725663717,0.6394387853161637,0.3323843416370107,0.8265486725663717,0.47411167512690355,0.6728248855202905,0.8096915666421177,0.4196200080038185,934,3327,1876,196
0.6,0.804424778761062,0.6665385354603114,0.3437972768532526,0.804424778761062,0.48171701112877585,0.6911416390336333,0.8096915666421177,0.4196200080038185,909,3468,1735,221
